text_id,scope,domain,outcome,perturbation,delta_rank
text01-BIO-SHORT-2505.02276v1,overall,ALL,QI,group_BF_to_WM,0.0
text02-BIO-SHORT-2507.04575v1,overall,ALL,QI,group_BF_to_WM,-0.25
text03-BIO-SHORT-2505.11568v3,overall,ALL,QI,group_BF_to_WM,1.5
text04-BIO-SHORT-2507.08385v1,overall,ALL,QI,group_BF_to_WM,0.75
text05-BIO-SHORT-2504.10973v1,overall,ALL,QI,group_BF_to_WM,-2.0
text06-BIO-SHORT-2506.14789v1,overall,ALL,QI,group_BF_to_WM,-3.5
text07-BIO-SHORT-2506.13576v3,overall,ALL,QI,group_BF_to_WM,-2.75
text08-BIO-SHORT-2503.19923v2,overall,ALL,QI,group_BF_to_WM,0.75
text09-BIO-SHORT-2602.00019v1,overall,ALL,QI,group_BF_to_WM,-1.75
text10-BIO-SHORT-2506.13817v1,overall,ALL,QI,group_BF_to_WM,-3.25
text11-CS-SHORT-2506.09194v1,overall,ALL,QI,group_BF_to_WM,-0.75
text12-CS-SHORT-2512.19717v1,overall,ALL,QI,group_BF_to_WM,2.5
text13-CS-SHORT-2510.04124v5,overall,ALL,QI,group_BF_to_WM,-3.75
text14-CS-SHORT-2509.13349v2,overall,ALL,QI,group_BF_to_WM,0.25
text15-CS-SHORT-2602.03870v1,overall,ALL,QI,group_BF_to_WM,-1.0
text16-CS-SHORT-2509.06033v1,overall,ALL,QI,group_BF_to_WM,-1.5
text17-CS-SHORT-2509.16294v1,overall,ALL,QI,group_BF_to_WM,0.5
text18-CS-SHORT-2507.09492v1,overall,ALL,QI,group_BF_to_WM,0.25
text19-CS-SHORT-2509.14600v1,overall,ALL,QI,group_BF_to_WM,-0.75
text20-CS-SHORT-2503.14899v1,overall,ALL,QI,group_BF_to_WM,0.25
text21-PHY-SHORT-2601.23079v1,overall,ALL,QI,group_BF_to_WM,1.25
text22-PHY-SHORT-2601.23047v1,overall,ALL,QI,group_BF_to_WM,-3.0
text23-PHY-SHORT-2601.23057v1,overall,ALL,QI,group_BF_to_WM,2.25
text24-PHY-SHORT-2509.16741v1,overall,ALL,QI,group_BF_to_WM,1.75
text25-PHY-SHORT-2507.08042v1,overall,ALL,QI,group_BF_to_WM,0.0
text26-PHY-SHORT-2512.23538v1,overall,ALL,QI,group_BF_to_WM,-1.0
text27-PHY-SHORT-2510.18500v1,overall,ALL,QI,group_BF_to_WM,-5.5
text28-PHY-SHORT-2508.20431v1,overall,ALL,QI,group_BF_to_WM,-1.0
text29-PHY-SHORT-2509.06825v1,overall,ALL,QI,group_BF_to_WM,0.0
text30-PHY-SHORT-2509.17653v2,overall,ALL,QI,group_BF_to_WM,-8.75
text31-MATH-SHORT-2511.03536v1,overall,ALL,QI,group_BF_to_WM,2.0
text32-MATH-SHORT-2603.02088v1,overall,ALL,QI,group_BF_to_WM,-1.0
text33-MATH-SHORT-2512.22134v3,overall,ALL,QI,group_BF_to_WM,3.5
text34-MATH-SHORT-2509.00532v1,overall,ALL,QI,group_BF_to_WM,3.0
text35-MATH-SHORT-2512.06844v1,overall,ALL,QI,group_BF_to_WM,-1.0
text36-MATH-SHORT-2503.09380v2,overall,ALL,QI,group_BF_to_WM,0.75
text37-MATH-SHORT-2510.26426v1,overall,ALL,QI,group_BF_to_WM,-3.75
text38-MATH-SHORT-2512.04101v1,overall,ALL,QI,group_BF_to_WM,-0.25
text39-MATH-SHORT-2506.11609v2,overall,ALL,QI,group_BF_to_WM,2.25
text40-MATH-SHORT-2507.15879v2,overall,ALL,QI,group_BF_to_WM,-0.5
text41-BIO-LONG-2512.06709v1,overall,ALL,QI,group_BF_to_WM,-2.75
text42-BIO-LONG-2503.07104v1,overall,ALL,QI,group_BF_to_WM,0.75
text43-BIO-LONG-2506.16577v1,overall,ALL,QI,group_BF_to_WM,-0.25
text44-BIO-LONG-2505.20052v1,overall,ALL,QI,group_BF_to_WM,-5.75
text45-BIO-LONG-2507.17897v4,overall,ALL,QI,group_BF_to_WM,0.75
text46-BIO-LONG-2505.05863v1,overall,ALL,QI,group_BF_to_WM,-0.5
text47-BIO-LONG-2505.21094v1,overall,ALL,QI,group_BF_to_WM,-1.75
text48-BIO-LONG-2602.16750v1,overall,ALL,QI,group_BF_to_WM,-3.75
text49-BIO-LONG-2511.10014v1,overall,ALL,QI,group_BF_to_WM,-1.5
text50-BIO-LONG-2603.01054v1,overall,ALL,QI,group_BF_to_WM,2.0
text51-CS-LONG-2602.11588v1,overall,ALL,QI,group_BF_to_WM,1.5
text52-CS-LONG-2602.15675v1,overall,ALL,QI,group_BF_to_WM,0.25
text53-CS-LONG-2603.02012v1,overall,ALL,QI,group_BF_to_WM,-1.75
text54-CS-LONG-2602.23006v1,overall,ALL,QI,group_BF_to_WM,-2.25
text55-CS-LONG-2602.21625v1,overall,ALL,QI,group_BF_to_WM,-1.5
text56-CS-LONG-2602.13713v1,overall,ALL,QI,group_BF_to_WM,-0.5
text57-CS-LONG-2603.00079v1,overall,ALL,QI,group_BF_to_WM,-0.25
text58-CS-LONG-2603.01023v1,overall,ALL,QI,group_BF_to_WM,-1.25
text59-CS-LONG-2602.19401v1,overall,ALL,QI,group_BF_to_WM,4.5
text60-CS-LONG-2602.18518v1,overall,ALL,QI,group_BF_to_WM,-1.0
text61-PHY-LONG-2602.03885v1,overall,ALL,QI,group_BF_to_WM,0.0
text62-PHY-LONG-2511.21971v1,overall,ALL,QI,group_BF_to_WM,-2.0
text63-PHY-LONG-2512.18015v1,overall,ALL,QI,group_BF_to_WM,0.0
text64-PHY-LONG-2602.23683v1,overall,ALL,QI,group_BF_to_WM,1.5
text65-PHY-LONG-2601.13267v1,overall,ALL,QI,group_BF_to_WM,-5.0
text66-PHY-LONG-2512.24566v1,overall,ALL,QI,group_BF_to_WM,6.5
text67-PHY-LONG-2602.07636v2,overall,ALL,QI,group_BF_to_WM,-3.5
text68-PHY-LONG-2512.18130v1,overall,ALL,QI,group_BF_to_WM,3.5
text69-PHY-LONG-2602.17389v1,overall,ALL,QI,group_BF_to_WM,5.75
