outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,model,se_model
q01,HI_minus_LI,0.0,-0.04375,0.040625,1.0,80,deepreviewer,0.021328503540828624
q01,HP_minus_LP,0.0,-0.028125,0.025,1.0,80,deepreviewer,0.013341901255590375
q01,BF_minus_WM,0.00625,-0.025,0.04375,0.87563,80,deepreviewer,0.017209960870512082
q02,HI_minus_LI,0.0125,-0.059375,0.08125,0.804995,80,deepreviewer,0.036102657779368226
q02,HP_minus_LP,-0.00625,-0.01875,0.00625,0.62261,80,deepreviewer,0.006249999999999999
q02,BF_minus_WM,0.025,-0.03125,0.08125,0.453015,80,deepreviewer,0.028684225806644707
q03,HI_minus_LI,0.075,-0.003125,0.16875,0.10458,80,deepreviewer,0.04366515280656021
q03,HP_minus_LP,-0.0375,-0.096875,0.015625,0.257555,80,deepreviewer,0.02919678974897017
q03,BF_minus_WM,-0.0125,-0.0875,0.0625,0.812895,80,deepreviewer,0.0382312666130151
q04,HI_minus_LI,0.009375,-0.04375,0.065625,0.82237,80,deepreviewer,0.02721360869891609
q04,HP_minus_LP,0.009375,-0.01875,0.034375,0.652155,80,deepreviewer,0.013666858822102872
q04,BF_minus_WM,0.078125,0.021875,0.1375,0.012785,80,deepreviewer,0.030029570737372956
q05,HI_minus_LI,0.025,-0.028125,0.084375,0.4637,80,deepreviewer,0.027986208176551276
q05,HP_minus_LP,-0.0125,-0.05,0.021875,0.61331,80,deepreviewer,0.01773352328504592
q05,BF_minus_WM,0.025,-0.021875,0.08125,0.44842,80,deepreviewer,0.026535145073103193
q06,HI_minus_LI,-0.0375,-0.125,0.034375,0.45832,80,deepreviewer,0.041026195706855575
q06,HP_minus_LP,0.0,-0.065625,0.05,1.0,80,deepreviewer,0.029500053636509916
q06,BF_minus_WM,0.0125,-0.05,0.084375,0.79515,80,deepreviewer,0.034419921741024165
q07,HI_minus_LI,-0.01875,-0.125,0.071875,0.765475,80,deepreviewer,0.050074114374392555
q07,HP_minus_LP,0.01875,-0.065625,0.090625,0.727525,80,deepreviewer,0.039970073852789764
q07,BF_minus_WM,0.0125,-0.065625,0.1,0.840245,80,deepreviewer,0.04240122550175446
