outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,model,se_model
q01,HI_minus_LI,0.042499999999999996,0.0125,0.08,0.01547,80,gemma,0.01759018353974811
q01,BF_minus_WM,-0.010000000000000002,-0.03625,0.014999999999999996,0.452935,80,gemma,0.013144763601015507
q02,HI_minus_LI,0.032499999999999994,0.002499999999999998,0.06999999999999999,0.054335,80,gemma,0.017409349299671563
q02,BF_minus_WM,-0.0125,-0.045000000000000005,0.017499999999999998,0.524015,80,gemma,0.016047299548048892
q03,HI_minus_LI,0.0,0.0,0.0,1.0,80,gemma,0.0
q03,BF_minus_WM,0.0,0.0,0.0,1.0,80,gemma,0.0
q04,HI_minus_LI,0.016250000000000004,0.0012500000000000011,0.036250000000000004,0.12492,80,gemma,0.009147827783936302
q04,BF_minus_WM,0.02375,-0.00625,0.06375,0.2502,80,gemma,0.018249653195941882
q05,HI_minus_LI,0.0037499999999999977,-0.013749999999999995,0.021249999999999998,0.87537,80,gemma,0.008973193199888856
q05,BF_minus_WM,0.023749999999999993,-0.017500000000000005,0.06624999999999999,0.30509,80,gemma,0.0214390326333341
q06,HI_minus_LI,-0.02375,-0.052531249999999974,-0.0012499999999999998,0.12671,80,gemma,0.013341160018263451
q06,BF_minus_WM,-0.008749999999999997,-0.03,0.0075000000000000015,0.471595,80,gemma,0.009445672440228977
q07,HI_minus_LI,-0.01875,-0.0475,0.006250000000000003,0.215005,80,gemma,0.013674996818086782
q07,BF_minus_WM,0.00875,-0.026250000000000002,0.04625,0.71931,80,gemma,0.018503655984970283
q08,HI_minus_LI,0.09875,0.04,0.16375,0.00156,80,gemma,0.03174730876663486
q08,BF_minus_WM,-0.02125,-0.06625,0.02375,0.370075,80,gemma,0.02303641517360357
q09,HI_minus_LI,-0.01875,-0.09375,0.05500000000000001,0.64387,80,gemma,0.03803287011074446
q09,BF_minus_WM,0.016249999999999997,-0.04,0.07625,0.61501,80,gemma,0.029416463464951227
q10,HI_minus_LI,0.17375000000000002,0.08875,0.26875,0.00013,80,gemma,0.046550087016737386
q10,BF_minus_WM,0.06875,0.0024999999999999996,0.14625000000000002,0.070295,80,gemma,0.036999561663500005
q11,HI_minus_LI,0.034999999999999996,-0.0025000000000000035,0.075,0.09775,80,gemma,0.02013404447286841
q11,BF_minus_WM,-0.005000000000000002,-0.0425,0.03624999999999999,0.789735,80,gemma,0.020039517920374547
q12,HI_minus_LI,-0.0075000000000000015,-0.09999999999999999,0.09000000000000001,0.88064,80,gemma,0.04838450295892559
q12,BF_minus_WM,0.007500000000000012,-0.04625,0.06875,0.798335,80,gemma,0.030177481335373825
q13,HI_minus_LI,0.07750000000000001,0.025,0.1325,0.004625,80,gemma,0.02744240228256219
q13,BF_minus_WM,0.004999999999999999,-0.041249999999999995,0.052500000000000005,0.867885,80,gemma,0.02412388910015248
q14,HI_minus_LI,0.0225,-0.013750000000000002,0.058750000000000004,0.257125,80,gemma,0.018655351829937012
q14,BF_minus_WM,0.0024999999999999996,-0.03874999999999999,0.045,0.92542,80,gemma,0.0213451888866694
q01,HI_minus_LI,-0.002499999999999998,-0.0375,0.030000000000000006,0.93516,80,gpt,0.017152978853374235
q01,BF_minus_WM,-0.017499999999999995,-0.04375,0.006250000000000008,0.22209,80,gpt,0.013045077639972534
q02,HI_minus_LI,-0.005000000000000004,-0.0325,0.018749999999999996,0.690065,80,gpt,0.013180826120360962
q02,BF_minus_WM,-0.0024999999999999966,-0.027499999999999997,0.02375,0.91209,80,gpt,0.013189826344093455
q03,HI_minus_LI,0.01,-0.0125,0.036250000000000004,0.487175,80,gpt,0.012273260014861783
q03,BF_minus_WM,0.005,-0.014999999999999996,0.026250000000000002,0.672585,80,gpt,0.010658686360743935
q04,HI_minus_LI,0.0012499999999999955,-0.01625,0.016249999999999994,1.0,80,gpt,0.008247314484274964
q04,BF_minus_WM,0.0012500000000000011,-0.017499999999999998,0.02,1.0,80,gpt,0.009660986072794751
q05,HI_minus_LI,0.008749999999999999,-0.015000000000000003,0.03125,0.56293,80,gpt,0.01155528127379233
q05,BF_minus_WM,0.013749999999999995,-0.010000000000000002,0.042499999999999996,0.4056,80,gpt,0.013517891332450828
q06,HI_minus_LI,-0.0025000000000000035,-0.03250000000000001,0.027500000000000004,0.847355,80,gpt,0.015505715565231852
q06,BF_minus_WM,-0.009999999999999998,-0.05625,0.0375,0.69858,80,gpt,0.02370707313136095
q07,HI_minus_LI,0.047499999999999994,0.011249999999999993,0.08625000000000001,0.01802,80,gpt,0.01940368945734192
q07,BF_minus_WM,-0.017499999999999998,-0.05375,0.01875000000000001,0.38374,80,gpt,0.018723081943642566
q08,HI_minus_LI,0.11625,0.06500000000000002,0.17375,1.5e-05,80,gpt,0.027869709863005413
q08,BF_minus_WM,0.053750000000000006,0.021249999999999998,0.0925,0.001735,80,gpt,0.018482265704442738
q09,HI_minus_LI,-0.06,-0.11499999999999999,-0.0075000000000000015,0.03426,80,gpt,0.027935277819192045
q09,BF_minus_WM,-0.027500000000000004,-0.08,0.02250000000000001,0.304965,80,gpt,0.02638415088119227
q10,HI_minus_LI,0.09,0.0037499999999999977,0.1825,0.05644,80,gpt,0.04627244580207889
q10,BF_minus_WM,0.05,-0.0012500000000000011,0.10125000000000002,0.06608,80,gpt,0.026325614421766952
q11,HI_minus_LI,0.03874999999999999,-0.006250000000000003,0.08749999999999998,0.1188,80,gpt,0.02389942997572446
q11,BF_minus_WM,0.016250000000000004,-0.014999999999999996,0.046250000000000006,0.30409,80,gpt,0.01585573310042455
